invoice_id,customer_id,amount_due_cents
C1-INV1,C1,11190
C1-INV2,C1,165717
C1-INV3,C1,122213
C1-INV4,C1,53300
C1-INV5,C1,189013
C1-INV6,C1,36612
C2-INV1,C2,86443
C2-INV2,C2,115498
C2-INV3,C2,54842
C2-INV4,C2,52325
C2-INV5,C2,227772
C2-INV6,C2,34246
C2-INV7,C2,157783
C3-INV1,C3,241121
C3-INV2,C3,209763
C3-INV3,C3,233251
C3-INV4,C3,175623
C3-INV5,C3,140080
C3-INV6,C3,42283
C3-INV7,C3,78276
C4-INV1,C4,85558
C4-INV2,C4,152658
C4-INV3,C4,102983
C4-INV4,C4,109127
C4-INV5,C4,157723
C4-INV6,C4,11606
C5-INV1,C5,30314
C5-INV2,C5,125318
C5-INV3,C5,239750
C5-INV4,C5,55710
C5-INV5,C5,49930
C6-INV1,C6,56132
C6-INV2,C6,112674
C6-INV3,C6,36979
C6-INV4,C6,222081
C6-INV5,C6,43684
C7-INV1,C7,195645
C7-INV2,C7,22265
C7-INV3,C7,173628
C7-INV4,C7,192193
C7-INV5,C7,97739
C7-INV6,C7,210566
C7-INV7,C7,34038
C7-INV8,C7,219904
C8-INV1,C8,25037
C8-INV2,C8,54958
C8-INV3,C8,97347
C8-INV4,C8,182952
C8-INV5,C8,35956
C9-INV1,C9,35813
C9-INV2,C9,197650
C9-INV3,C9,243071
C9-INV4,C9,247498
C9-INV5,C9,142565
C9-INV6,C9,223668
C9-INV7,C9,52294
C10-INV1,C10,51744
C10-INV2,C10,238152
C10-INV3,C10,174332
C10-INV4,C10,88581
C10-INV5,C10,19886
C10-INV6,C10,12858
C11-INV1,C11,121143
C11-INV2,C11,145128
C11-INV3,C11,117669
C11-INV4,C11,41659
C11-INV5,C11,98107
C11-INV6,C11,94729
C12-INV1,C12,146286
C12-INV2,C12,54937
C12-INV3,C12,135843
C12-INV4,C12,111358
C12-INV5,C12,94989
C12-INV6,C12,234167
C13-INV1,C13,206273
C13-INV2,C13,205876
C13-INV3,C13,10721
C13-INV4,C13,34730
C13-INV5,C13,137834
C13-INV6,C13,184953
C13-INV7,C13,18487
C14-INV1,C14,182243
C14-INV2,C14,212867
C14-INV3,C14,195567
C14-INV4,C14,18696
C14-INV5,C14,241304
C14-INV6,C14,66425
C14-INV7,C14,214931
C15-INV1,C15,242765
C15-INV2,C15,121693
C15-INV3,C15,221165
C15-INV4,C15,92090
C15-INV5,C15,245865
C16-INV1,C16,235147
C16-INV2,C16,167827
C16-INV3,C16,243984
C16-INV4,C16,103239
C16-INV5,C16,241863
C16-INV6,C16,15614
C17-INV1,C17,72418
C17-INV2,C17,68966
C17-INV3,C17,220024
C17-INV4,C17,45047
C17-INV5,C17,34706
C18-INV1,C18,216811
C18-INV2,C18,228468
C18-INV3,C18,180825
C18-INV4,C18,120405
C18-INV5,C18,99601
C18-INV6,C18,59704
C18-INV7,C18,79967
C18-INV8,C18,185291
