payment_id,customer_id,amount_cents
C1-PMT1,C1,32197
C1-PMT2,C1,60458
C1-PMT3,C1,8827
C1-PMT4,C1,8964
C1-PMT5,C1,71923
C1-PMT6,C1,2911
C1-PMT7,C1,163861
C1-PMT8,C1,115231
C1-PMT9,C1,41682
C1-PMT10,C1,18185
C1-PMT11,C1,114804
C1-PMT12,C1,23874
C1-PMT13,C1,297
C1-PMT14,C1,99146
C1-PMT15,C1,165360
C1-PMT16,C1,62193
C1-PMT17,C1,101498
C1-PMT18,C1,109053
C1-PMT19,C1,128074
C1-PMT20,C1,106567
C1-PMT21,C1,150960
C1-PMT22,C1,142642
C1-PMT23,C1,130835
C1-PMT24,C1,44642
C1-PMT25,C1,162210
C1-PMT26,C1,126317
C2-PMT1,C2,68652
C2-PMT2,C2,38340
C2-PMT3,C2,22715
C2-PMT4,C2,19939
C2-PMT5,C2,11068
C2-PMT6,C2,62656
C2-PMT7,C2,40252
C2-PMT8,C2,60594
C2-PMT9,C2,163075
C2-PMT10,C2,52779
C2-PMT11,C2,106383
C2-PMT12,C2,102354
C2-PMT13,C2,147710
C2-PMT14,C2,97406
C2-PMT15,C2,138051
C2-PMT16,C2,138692
C2-PMT17,C2,67548
C2-PMT18,C2,131929
C2-PMT19,C2,308474
C2-PMT20,C2,175850
C2-PMT21,C2,18376
C2-PMT22,C2,118757
C2-PMT23,C2,156608
C2-PMT24,C2,1058
C3-PMT1,C3,44256
C3-PMT2,C3,76139
C3-PMT3,C3,707
C3-PMT4,C3,85670
C3-PMT5,C3,106426
C3-PMT6,C3,96202
C3-PMT7,C3,178353
C3-PMT8,C3,126773
C3-PMT9,C3,83045
C3-PMT10,C3,22626
C3-PMT11,C3,2435
C3-PMT12,C3,12589
C3-PMT13,C3,58401
C3-PMT14,C3,95649
C3-PMT15,C3,68417
C3-PMT16,C3,48412
C3-PMT17,C3,85013
C3-PMT18,C3,145814
C3-PMT19,C3,95010
C3-PMT20,C3,78406
C3-PMT21,C3,77335
C3-PMT22,C3,179335
C3-PMT23,C3,67737
C3-PMT24,C3,187915
C3-PMT25,C3,124775
C3-PMT26,C3,113081
C3-PMT27,C3,43062
C4-PMT1,C4,68205
C4-PMT2,C4,24592
C4-PMT3,C4,55267
C4-PMT4,C4,43250
C4-PMT5,C4,32199
C4-PMT6,C4,45741
C4-PMT7,C4,101958
C4-PMT8,C4,35358
C4-PMT9,C4,24976
C4-PMT10,C4,75865
C4-PMT11,C4,98940
C4-PMT12,C4,31900
C4-PMT13,C4,10596
C4-PMT14,C4,38178
C4-PMT15,C4,34813
C4-PMT16,C4,3249
C4-PMT17,C4,247656
C4-PMT18,C4,99385
C4-PMT19,C4,73711
C4-PMT20,C4,59698
C4-PMT21,C4,77300
C4-PMT22,C4,3535
C4-PMT23,C4,34739
C4-PMT24,C4,89441
C4-PMT25,C4,56177
C4-PMT26,C4,25723
C4-PMT27,C4,93524
C4-PMT28,C4,69478
C4-PMT29,C4,44123
C4-PMT30,C4,16406
C5-PMT1,C5,163605
C5-PMT2,C5,101425
C5-PMT3,C5,145107
C5-PMT4,C5,78549
C5-PMT5,C5,29040
C5-PMT6,C5,87024
C5-PMT7,C5,45279
C5-PMT8,C5,112083
C5-PMT9,C5,32073
C5-PMT10,C5,103934
C5-PMT11,C5,24703
C5-PMT12,C5,110139
C5-PMT13,C5,115762
C5-PMT14,C5,150327
C5-PMT15,C5,33413
C5-PMT16,C5,123074
C5-PMT17,C5,46857
C5-PMT18,C5,6987
C5-PMT19,C5,139461
C5-PMT20,C5,174000
C5-PMT21,C5,51861
C5-PMT22,C5,46667
C5-PMT23,C5,127170
C5-PMT24,C5,122890
C5-PMT25,C5,117457
C5-PMT26,C5,71419
C5-PMT27,C5,163982
C5-PMT28,C5,115663
C5-PMT29,C5,61168
C5-PMT30,C5,88468
C6-PMT1,C6,80838
C6-PMT2,C6,166760
C6-PMT3,C6,66579
C6-PMT4,C6,12830
C6-PMT5,C6,16130
C6-PMT6,C6,99335
C6-PMT7,C6,145823
C6-PMT8,C6,137034
C6-PMT9,C6,102741
C6-PMT10,C6,165338
C6-PMT11,C6,76558
C6-PMT12,C6,2651
C6-PMT13,C6,141913
C6-PMT14,C6,19219
C6-PMT15,C6,89951
C6-PMT16,C6,143520
C6-PMT17,C6,11317
C6-PMT18,C6,62869
C6-PMT19,C6,140392
C6-PMT20,C6,57525
C6-PMT21,C6,150274
C6-PMT22,C6,138747
C6-PMT23,C6,145556
C6-PMT24,C6,19946
C6-PMT25,C6,3267
C6-PMT26,C6,90517
C6-PMT27,C6,164498
C6-PMT28,C6,149626
C7-PMT1,C7,107054
C7-PMT2,C7,30868
C7-PMT3,C7,186132
C7-PMT4,C7,226840
C7-PMT5,C7,167676
C7-PMT6,C7,30290
C7-PMT7,C7,120927
C7-PMT8,C7,196977
C7-PMT9,C7,207803
C7-PMT10,C7,87
C7-PMT11,C7,137291
C7-PMT12,C7,4061
C7-PMT13,C7,193733
C7-PMT14,C7,3930
C7-PMT15,C7,217403
C7-PMT16,C7,29936
C7-PMT17,C7,62070
C7-PMT18,C7,56580
C7-PMT19,C7,56299
C7-PMT20,C7,13832
C7-PMT21,C7,200406
C7-PMT22,C7,79208
C7-PMT23,C7,29883
C7-PMT24,C7,271
C7-PMT25,C7,8496
C7-PMT26,C7,229980
C8-PMT1,C8,25517
C8-PMT2,C8,68846
C8-PMT3,C8,119029
C8-PMT4,C8,86159
C8-PMT5,C8,128796
C8-PMT6,C8,137208
C8-PMT7,C8,61591
C8-PMT8,C8,136896
C8-PMT9,C8,68942
C8-PMT10,C8,169159
C8-PMT11,C8,69682
C8-PMT12,C8,16389
C8-PMT13,C8,64140
C8-PMT14,C8,59434
C8-PMT15,C8,130850
C8-PMT16,C8,56600
C8-PMT17,C8,114837
C8-PMT18,C8,119775
C8-PMT19,C8,58994
C8-PMT20,C8,44458
C8-PMT21,C8,145063
C8-PMT22,C8,36232
C8-PMT23,C8,95012
C8-PMT24,C8,133499
C8-PMT25,C8,20693
C9-PMT1,C9,191199
C9-PMT2,C9,247630
C9-PMT3,C9,101442
C9-PMT4,C9,97496
C9-PMT5,C9,38338
C9-PMT6,C9,60629
C9-PMT7,C9,59501
C9-PMT8,C9,147463
C9-PMT9,C9,198002
C9-PMT10,C9,91343
C9-PMT11,C9,25655
C9-PMT12,C9,39029
C9-PMT13,C9,195767
C9-PMT14,C9,124534
C9-PMT15,C9,217777
C9-PMT16,C9,33667
C9-PMT17,C9,127092
C9-PMT18,C9,12798
C9-PMT19,C9,7289
C9-PMT20,C9,95098
C9-PMT21,C9,177186
C9-PMT22,C9,88336
C9-PMT23,C9,85527
C10-PMT1,C10,55947
C10-PMT2,C10,7658
C10-PMT3,C10,83916
C10-PMT4,C10,51451
C10-PMT5,C10,678
C10-PMT6,C10,20678
C10-PMT7,C10,85615
C10-PMT8,C10,83967
C10-PMT9,C10,6532
C10-PMT10,C10,129854
C10-PMT11,C10,104461
C10-PMT12,C10,101818
C10-PMT13,C10,120758
C10-PMT14,C10,34647
C10-PMT15,C10,100219
C10-PMT16,C10,25680
C10-PMT17,C10,121124
C10-PMT18,C10,2304
C10-PMT19,C10,111317
C10-PMT20,C10,91831
C10-PMT21,C10,58041
C10-PMT22,C10,131108
C10-PMT23,C10,153029
C10-PMT24,C10,68267
C10-PMT25,C10,87352
C10-PMT26,C10,12545
C10-PMT27,C10,113269
C10-PMT28,C10,33709
