job_id,required_skill,base_duration,priority,deadline,arrival_time
J1,hvac,90,standard,402,0
J2,general,45,standard,412,148
J3,general,60,standard,424,0
J4,electrical,90,standard,362,0
J5,general,90,standard,351,0
J6,electrical,60,standard,322,0
J7,plumbing,30,standard,361,83
J8,hvac,60,standard,480,158
J9,plumbing,45,standard,279,0
J10,plumbing,60,urgent,192,0
J11,plumbing,90,standard,402,0
J12,plumbing,75,urgent,139,0
J13,hvac,60,urgent,162,0
J14,general,75,standard,438,145
J15,electrical,90,urgent,160,0
J16,hvac,45,urgent,480,340
J17,general,75,urgent,242,0
J18,electrical,45,urgent,215,0
J19,hvac,45,standard,391,0
J20,plumbing,45,standard,452,0
J21,hvac,30,standard,275,0
J22,general,30,standard,320,79
