payment_id,invoice_id,amount_cents,payment_date
PMT0-0,INV0,312243,2023-11-29
PMT1-0,INV1,100338,2023-12-13
PMT1-1,INV1,105597,2024-01-17
PMT1-2,INV1,50042,2023-06-21
PMT2-0,INV2,18397,2023-06-25
PMT3-0,INV3,163889,2023-05-18
PMT3-1,INV3,162310,2023-09-01
PMT3-2,INV3,128438,2023-03-20
PMT4-0,INV4,36929,2023-06-08
PMT4-1,INV4,97596,2023-03-30
PMT4-2,INV4,88641,2023-06-24
PMT5-0,INV5,139805,2023-05-07
PMT6-0,INV6,68787,2023-06-19
PMT7-0,INV7,227534,2023-05-11
PMT8-0,INV8,88841,2023-08-13
PMT8-1,INV8,228760,2023-08-18
PMT9-0,INV9,193672,2023-06-08
PMT10-0,INV10,117685,2023-09-03
PMT11-0,INV11,106388,2023-08-28
PMT13-0,INV13,17596,2023-07-08
PMT13-1,INV13,19234,2023-05-27
PMT15-0,INV15,12753,2023-03-03
PMT15-1,INV15,24491,2023-05-01
PMT15-2,INV15,13876,2023-05-19
PMT17-0,INV17,207224,2023-02-13
PMT17-1,INV17,585723,2023-02-06
PMT18-0,INV18,68225,2023-06-29
PMT19-0,INV19,245470,2023-06-12
PMT19-1,INV19,204559,2023-04-03
PMT19-2,INV19,104451,2023-07-12
PMT20-0,INV20,291129,2023-06-22
PMT21-0,INV21,147869,2023-01-20
PMT22-0,INV22,365676,2023-02-23
PMT22-1,INV22,137753,2023-08-30
PMT23-0,INV23,91693,2023-07-20
PMT24-0,INV24,117258,2023-10-27
PMT24-1,INV24,88069,2023-07-29
