query_id,invoice_id,as_of_date
Q0,INV0,2024-03-01
Q1,INV1,2024-02-12
Q2,INV2,2023-07-26
Q3,INV3,2023-12-18
Q4,INV4,2023-07-05
Q5,INV5,2023-07-15
Q6,INV6,2023-10-10
Q7,INV7,2023-09-10
Q8,INV8,2023-09-19
Q9,INV9,2024-01-27
Q10,INV10,2023-10-17
Q11,INV11,2023-11-14
Q12,INV12,2023-12-31
Q13,INV13,2023-07-11
Q14,INV14,2023-10-21
Q15,INV15,2023-05-23
Q16,INV16,2024-02-19
Q17,INV17,2023-03-17
Q18,INV18,2023-09-17
Q19,INV19,2023-08-09
Q20,INV20,2023-11-03
Q21,INV21,2023-08-10
Q22,INV22,2023-09-17
Q23,INV23,2023-08-05
Q24,INV24,2023-11-09
