invoice_id,customer_id,jurisdiction_code,principal_cents,due_date
INV0,CUST0,J0,222457,2023-01-16
INV1,CUST1,J1,1460895,2023-05-24
INV2,CUST2,J2,1639157,2023-03-07
INV3,CUST3,J3,1754840,2023-01-27
INV4,CUST4,J4,1914508,2023-03-24
INV5,CUST5,J0,847048,2023-06-22
INV6,CUST6,J1,812178,2023-02-09
INV7,CUST7,J2,1974701,2023-05-24
INV8,CUST8,J3,1196133,2023-06-19
INV9,CUST9,J4,1690225,2023-06-20
INV10,CUST10,J0,846740,2023-03-25
INV11,CUST11,J1,1654782,2023-04-13
INV12,CUST12,J2,276283,2023-02-04
INV13,CUST13,J3,674749,2023-03-22
INV14,CUST14,J4,1383190,2023-01-09
INV15,CUST15,J0,1571142,2023-01-12
INV16,CUST16,J1,1679581,2023-03-03
INV17,CUST17,J2,1691411,2023-05-19
INV18,CUST18,J3,328010,2023-04-01
INV19,CUST19,J4,103895,2023-02-20
INV20,CUST0,J0,1523033,2023-02-24
INV21,CUST1,J1,1261194,2023-03-02
INV22,CUST2,J2,776963,2023-02-08
INV23,CUST3,J3,1576378,2023-04-28
INV24,CUST4,J4,852285,2023-06-25
